,voice_ad,side,ad_id,page_id,query,page_name,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,ad_snapshot_url,cleaned_ad
1787,1.0,yes,296266000000000.0,102330000000000.0,the voice,Yes23,"Indigenous Australians are leading a ""modern democratic miracle"" with a record surge in voter enrolment to 94.1% ahead of the referendum for recognition and a voice!

It shows the strong support among Indigenous Australians for a voice to advise Parliament, because listening to the community will lead to better outcomes for Indigenous health, education and quality of life.

As voters, it's our time to listen. Vote YES in the national referendum for Indigenous constitutional recognition through a voice to Parliament.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.

https://www.sbs.com.au/nitv/article/democratic-miracle-as-enrolments-reach-record-highs/mmn068nwa",['Record number of First Nations people enrolled to vote ahead of Voice referendum'],['sbs.com.au'],['The Australian Electoral Commission has reported enrolments for First Nations people and Northern Territorians are above 90 per cent for the first time ever.'],https://www.facebook.com/ads/library/?id=296266166219370,IndigenousAustraliansareleadingamoderndemocraticmiraclewitharecordsurgeinvoterenrolmentto941aheadofthereferendumforrecognitionandavoiceItshowsthestrongsupportamongIndigenousAustraliansforavoicetoadviseParliamentbecauselisteningtothecommunitywillleadtobetteroutcomesforIndigenoushealtheducationandqualityoflifeAsvotersitsourtimetolistenVoteYESinthenationalreferendumforIndigenousconstitutionalrecognitionthroughavoicetoParliamentAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSWhttpswwwsbscomaunitvarticledemocraticmiracleasenrolmentsreachrecordhighsmmn068nwa
1788,1.0,yes,992361000000000.0,102330000000000.0,the voice,Yes23,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",,,,https://www.facebook.com/ads/library/?id=992360535298100,ListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceforIndigenousAustraliansonissuesaffectingthemThiswillcreatebetteroutcomesforIndigenoushealtheducationandqualityoflifeVoteYESinthenationalreferendumforIndigenousconstitutionalrecognitionAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1789,1.0,yes,1024080000000000.0,102330000000000.0,the voice,Yes23,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",,,,https://www.facebook.com/ads/library/?id=1024076745433089,IndigenouscommunitiesarecallingforconstitutionalrecognitionthroughanadvisoryvoicetoParliamentItwouldgiveIndigenousAustraliansasayonissuesaffectingthemleadingtobetteroutcomesforIndigenoushealtheducationandqualityoflife86ofIndigenousAustralianssupportitSoshouldweVoteYESinthenationalreferendumforIndigenousconstitutionalrecognitionAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1790,1.0,yes,2518450000000000.0,102330000000000.0,the voice,Yes23,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",,,,https://www.facebook.com/ads/library/?id=2518450231664329,GreattoseepoliticiansfromallsidescomingtogethertosupportaresoundingYesvoteVotingtogiveIndigenousAustraliansasayoverissuesthataffectthemissomethingthatshouldtranscendpartypoliticsAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1791,1.0,yes,6144960000000000.0,102330000000000.0,the voice,Yes23,"Will you put your money where your heart is? ♥️💛🖤

Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Show your solidarity here and now by donating to support the YES campaign.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=6144963738965248,WillyouputyourmoneywhereyourheartisListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceonissuesaffectingthemShowyoursolidarityhereandnowbydonatingtosupporttheYEScampaignAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1792,1.0,yes,248068000000000.0,102330000000000.0,the voice,Yes23,"Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Show your solidarity here and now by donating to support the YES campaign.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=248068348032681,ListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceonissuesaffectingthemShowyoursolidarityhereandnowbydonatingtosupporttheYEScampaignAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1793,1.0,yes,241741000000000.0,102330000000000.0,the voice,Yes23,"Are you voting Yes at the referendum? 

Aboriginal and Torres Strait Islander communities have called for constitutional recognition through a voice to Parliament. Later this year we all have the opportunity to bring our country together with a resounding Yes vote. 

Will you pledge to vote Yes?

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=241740868741628,AreyouvotingYesatthereferendumAboriginalandTorresStraitIslandercommunitieshavecalledforconstitutionalrecognitionthroughavoicetoParliamentLaterthisyearweallhavetheopportunitytobringourcountrytogetherwitharesoundingYesvoteWillyoupledgetovoteYesAuthorisedbyDeanParkinAustraliansforIndigenousConstitutionalRecognitionNorthSydneyNSW
1794,1.0,yes,812331000000000.0,102330000000000.0,the voice,Yes23,"Everyone deserves a voice on issues that affect them. 

For too long the government has decided things for Indigenous communities without listening to them, with terrible consequences.

That’s why Indigenous Australians have called for constitutional recognition through an advisory voice to Parliament on issues that affect their communities.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=812330593540819,EveryonedeservesavoiceonissuesthataffectthemFortoolongthegovernmenthasdecidedthingsforIndigenouscommunitieswithoutlisteningtothemwithterribleconsequencesThatswhyIndigenousAustralianshavecalledforconstitutionalrecognitionthroughanadvisoryvoicetoParliamentonissuesthataffecttheircommunitiesVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1795,1.0,yes,1062730000000000.0,102330000000000.0,the voice,Yes23,"Our nation is stronger when we work together.

Constitutional recognition of Indigenous Australians will help bring us together as a nation.

An Indigenous advisory voice to Parliament will help us solve the challenges facing Indigenous communities.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=1062725504696057,OurnationisstrongerwhenweworktogetherConstitutionalrecognitionofIndigenousAustralianswillhelpbringustogetherasanationAnIndigenousadvisoryvoicetoParliamentwillhelpussolvethechallengesfacingIndigenouscommunitiesVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1796,1.0,yes,584862000000000.0,102330000000000.0,the voice,Yes23,"Over 20,000 people gathered together across Australia yesterday to show their support for a Voice to Parliament. 

And what a day it was! 

Thank you to all who came along to learn more about the campaign and how you can get involved. 

And for those who couldn’t make it, head to action.yes23.com.au to sign up for future events! 

#yes23 

This video contains footage from 9 News, 7 News, 10 News First and The Project.",['Come Together for Yes'],,,https://www.facebook.com/ads/library/?id=584861623804710,Over20000peoplegatheredtogetheracrossAustraliayesterdaytoshowtheirsupportforaVoicetoParliamentAndwhatadayitwasThankyoutoallwhocamealongtolearnmoreaboutthecampaignandhowyoucangetinvolvedAndforthosewhocouldntmakeitheadtoactionyes23comautosignupforfutureeventsyes23Thisvideocontainsfootagefrom9News7News10NewsFirstandTheProject
1797,1.0,yes,1360190000000000.0,102330000000000.0,the voice,Yes23,"Communities across the country — from as far north as Marrara in the Northern Territory, to Tasmania’s capital Hobart in the south — have rallied in support of Indigenous constitutional recognition through a Voice to Parliament.

Find out about the growing support for Yes across the country: 
https://www.abc.net.au/news/2023-07-02/voice-to-parliament-yes-campaign-community-events/102550732","[""'We need to do this': Yes campaigners rally around the country""]",['abc.net.au'],['Thousands take part in Yes vote events around the country as advocates lay out why Australia needs a Voice to Parliament.'],https://www.facebook.com/ads/library/?id=1360191161511490,CommunitiesacrossthecountryfromasfarnorthasMarraraintheNorthernTerritorytoTasmaniascapitalHobartinthesouthhaveralliedinsupportofIndigenousconstitutionalrecognitionthroughaVoicetoParliamentFindoutaboutthegrowingsupportforYesacrossthecountryhttpswwwabcnetaunews20230702voicetoparliamentyescampaigncommunityevents102550732
1798,1.0,yes,775414000000000.0,102330000000000.0,the voice,Yes23,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?",,,,https://www.facebook.com/ads/library/?id=775413974377601,ThisyearweallhavetheopportunitytomakehistoryAresoundingYesvotewillberememberedasamomentournationcametogetherandvotedforabetterfutureWillyoubepartofit
1799,1.0,yes,251818000000000.0,102330000000000.0,the voice,Yes23,"We get better outcomes when we listen to each other.

Indigenous Australians are best placed to know what’s right for their families and communities.

Constitutional recognition through an advisory voice to Parliament will ensure the government listens to Indigenous Australians before making decisions that affect them.

Listening is something we can all get behind.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=251818304217519,WegetbetteroutcomeswhenwelistentoeachotherIndigenousAustraliansarebestplacedtoknowwhatsrightfortheirfamiliesandcommunitiesConstitutionalrecognitionthroughanadvisoryvoicetoParliamentwillensurethegovernmentlistenstoIndigenousAustraliansbeforemakingdecisionsthataffectthemListeningissomethingwecanallgetbehindVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1800,1.0,yes,568649000000000.0,102330000000000.0,the voice,Yes23,"When will the next chance come to help get things right for Indigenous Australians?

Indigenous Australians are calling for constitutional recognition through an advisory voice to Parliament, so they can have a say in decisions that affect their lives.

We can’t miss this chance to improve the health, education and quality of life for Indigenous communities!

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=568648628813892,WhenwillthenextchancecometohelpgetthingsrightforIndigenousAustraliansIndigenousAustraliansarecallingforconstitutionalrecognitionthroughanadvisoryvoicetoParliamentsotheycanhaveasayindecisionsthataffecttheirlivesWecantmissthischancetoimprovethehealtheducationandqualityoflifeforIndigenouscommunitiesVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1801,1.0,yes,595212000000000.0,102330000000000.0,the voice,Yes23,"We want to be one nation, working together to solve our challenges.

Constitutional recognition of Indigenous Australians will help bring us together as a nation.

An Indigenous advisory voice to Parliament will help us solve the challenges facing Indigenous communities.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=595212442733308,WewanttobeonenationworkingtogethertosolveourchallengesConstitutionalrecognitionofIndigenousAustralianswillhelpbringustogetherasanationAnIndigenousadvisoryvoicetoParliamentwillhelpussolvethechallengesfacingIndigenouscommunitiesVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1802,1.0,yes,207710000000000.0,102330000000000.0,the voice,Yes23,"4 reasons to donate to the Yes campaign for constitutional recognition and a Voice for First Nations people.

Show your solidarity by donating to support the Yes campaign today.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=207710341775669,4reasonstodonatetotheYescampaignforconstitutionalrecognitionandaVoiceforFirstNationspeopleShowyoursolidaritybydonatingtosupporttheYescampaigntoday
1803,1.0,yes,678719000000000.0,102330000000000.0,the voice,Yes23,"Will you put your money where your heart is? ♥️💛🖤

The Uluru Statement from the Heart, forged by Aboriginal and Torres Strait Islander communities, calls for constitutional recognition and a Voice to Parliament.

The national referendum for recognition and a Voice is an opportunity for all Australians to meet them heart to heart.

Show your solidarity here and now by donating to support the YES campaign.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=678719230708587,WillyouputyourmoneywhereyourheartisTheUluruStatementfromtheHeartforgedbyAboriginalandTorresStraitIslandercommunitiescallsforconstitutionalrecognitionandaVoicetoParliamentThenationalreferendumforrecognitionandaVoiceisanopportunityforallAustralianstomeetthemhearttoheartShowyoursolidarityhereandnowbydonatingtosupporttheYEScampaign
1804,1.0,yes,945398000000000.0,102330000000000.0,the voice,Yes23,"Aboriginal and Torres Strait Islander communities have called for constitutional recognition through a voice to Parliament – and your support is needed to make it happen. 

Later this year, we all have the opportunity to vote for this once-in-a generation opportunity to unite our country through crucial changes to the constitution. 

A voice to Parliament will give Indigenous Australians a say over things that affect them. Experience shows this is the best way to address the unique challenges affecting Aboriginal and Torres Strait Islander communities. 

But success hinges on each and every one of us who supports the voice to Parliament playing our part. Can you pledge to vote Yes today?",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=945398260004379,AboriginalandTorresStraitIslandercommunitieshavecalledforconstitutionalrecognitionthroughavoicetoParliamentandyoursupportisneededtomakeithappenLaterthisyearweallhavetheopportunitytovoteforthisonceinagenerationopportunitytouniteourcountrythroughcrucialchangestotheconstitutionAvoicetoParliamentwillgiveIndigenousAustraliansasayoverthingsthataffectthemExperienceshowsthisisthebestwaytoaddresstheuniquechallengesaffectingAboriginalandTorresStraitIslandercommunitiesButsuccesshingesoneachandeveryoneofuswhosupportsthevoicetoParliamentplayingourpartCanyoupledgetovoteYestoday
1805,1.0,yes,1425500000000000.0,102330000000000.0,the voice,Yes23,"Great to see our sport codes supporting the Yes vote!

Sport brings us together as a nation, which is exactly what we’ll achieve with a resounding Yes vote, 

Be part of making history this year – vote Yes.",,,,https://www.facebook.com/ads/library/?id=1425498688305169,GreattoseeoursportcodessupportingtheYesvoteSportbringsustogetherasanationwhichisexactlywhatwellachievewitharesoundingYesvoteBepartofmakinghistorythisyearvoteYes
1806,1.0,yes,224217000000000.0,102330000000000.0,the voice,Yes23,"4 reasons to vote ‘Yes’ in the national referendum for Indigenous constitutional recognition.

Vote ‘Yes’ to recognise 65,000 years of Indigenous culture in our constitution.

First comment: Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge",,,,https://www.facebook.com/ads/library/?id=224217087168571,4reasonstovoteYesinthenationalreferendumforIndigenousconstitutionalrecognitionVoteYestorecognise65000yearsofIndigenouscultureinourconstitutionFirstcommentShowyoursupporttodaybypledgingtovoteYeshttpsactionyes23comaupledge
1807,1.0,yes,822499000000000.0,102330000000000.0,the voice,Yes23,"Support for a Yes vote is overwhelming amongst Indigenous Australians. 

It’s time for us to come together as a nation and listen to the oldest living culture on earth. 

Vote Yes.",,,,https://www.facebook.com/ads/library/?id=822498715661243,SupportforaYesvoteisoverwhelmingamongstIndigenousAustraliansItstimeforustocometogetherasanationandlistentotheoldestlivingcultureonearthVoteYes
1808,1.0,yes,805355000000000.0,102330000000000.0,the voice,Yes23,"Polls show that 86% of Indigenous Australians support a Yes vote at the referendum. 

A resounding Yes vote will unite our nation and pay respect to 65,000 years of Indigenous culture. 

Vote Yes.",,,,https://www.facebook.com/ads/library/?id=805354824453215,Pollsshowthat86ofIndigenousAustralianssupportaYesvoteatthereferendumAresoundingYesvotewilluniteournationandpayrespectto65000yearsofIndigenouscultureVoteYes
1809,1.0,yes,186099000000000.0,102330000000000.0,the voice,Yes23,"Australia’s Constitution is 122 years old and still doesn’t recognise Indigenous Australians. Australia’s Constitution is 122 years old and still doesn’t recognise indigenous Australians.

#yes23
#voice
#referendum23 
#constitutionalrecognition 
#indigenousrecognition
#voiceyes
#yesvoice
#yesfair
#sayyes
#sayes","['We have a chance to fix that.', 'We have a chance to fix that.']","['yes23.com.au', 'yes23.com.au']","['Find out more', 'Find out more']",https://www.facebook.com/ads/library/?id=186099090790211,AustraliasConstitutionis122yearsoldandstilldoesntrecogniseIndigenousAustraliansAustraliasConstitutionis122yearsoldandstilldoesntrecogniseindigenousAustraliansyes23voicereferendum23constitutionalrecognitionindigenousrecognitionvoiceyesyesvoiceyesfairsayyessayes
1810,1.0,yes,214876000000000.0,102330000000000.0,the voice,Yes23,"4 reasons to vote ‘Yes’ in the national referendum for Indigenous constitutional recognition.

Vote ‘Yes’ to recognise 65,000 years of Indigenous culture in our constitution.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge",,,,https://www.facebook.com/ads/library/?id=214875538157692,4reasonstovoteYesinthenationalreferendumforIndigenousconstitutionalrecognitionVoteYestorecognise65000yearsofIndigenouscultureinourconstitutionShowyoursupporttodaybypledgingtovoteYeshttpsactionyes23comaupledge
1811,1.0,yes,1309570000000000.0,102330000000000.0,the voice,Yes23,"Australia’s Constitution is 122 years old and still doesn’t recognise indigenous Australians.

#yes23
#voice
#referendum23 
#constitutionalrecognition 
#indigenousrecognition
#voiceyes
#yesvoice
#yesfair
#sayyes
#sayes Australia’s Constitution is 122 years old and still doesn’t recognise Indigenous Australians.","['We have a chance to fix that.', 'We have a chance to fix that.']","['yes23.com.au', 'yes23.com.au']","['Find out more', 'Find out more']",https://www.facebook.com/ads/library/?id=1309571663272874,AustraliasConstitutionis122yearsoldandstilldoesntrecogniseindigenousAustraliansyes23voicereferendum23constitutionalrecognitionindigenousrecognitionvoiceyesyesvoiceyesfairsayyessayesAustraliasConstitutionis122yearsoldandstilldoesntrecogniseIndigenousAustralians
1812,1.0,yes,203125000000000.0,102330000000000.0,the voice,Yes23,"The Cats are kicking goals on and off the field, last night announcing their support for a Yes vote at this year's referendum! 

In the statement, the Board shared that ""as a humble custodian of Kardinia Park, the Geelong Football Club honours the contribution First Nations people have on our great game. We recognise the impact a Voice to Parliament could have on better outcomes for Aboriginal and Torres Strait Islander peoples, and the healing moment this would create for future generations of all Australians"". 

You can read the full statement from the Club, made to coincide with the upcoming Sir Doug Nicholls Round, here: https://bit.ly/3WbLXcp",,,,https://www.facebook.com/ads/library/?id=203125492650706,TheCatsarekickinggoalsonandoffthefieldlastnightannouncingtheirsupportforaYesvoteatthisyearsreferendumInthestatementtheBoardsharedthatasahumblecustodianofKardiniaParktheGeelongFootballClubhonoursthecontributionFirstNationspeoplehaveonourgreatgameWerecognisetheimpactaVoicetoParliamentcouldhaveonbetteroutcomesforAboriginalandTorresStraitIslanderpeoplesandthehealingmomentthiswouldcreateforfuturegenerationsofallAustraliansYoucanreadthefullstatementfromtheClubmadetocoincidewiththeupcomingSirDougNichollsRoundherehttpsbitly3WbLXcp
1813,1.0,yes,801098000000000.0,102330000000000.0,the voice,Yes23,"Ahead of today's AFL Sir Doug Nicholls Round match with Walyalup, Melbourne Football Club (who play as Narrm Football Club during the Round) has announced its support for a First Nations Voice.

“We are confident that a First Nations voice to Parliament is a positive and exciting
opportunity for all Australians and an important steppingstone towards a reconciled
Australia”.

Read the full statement on their Instagram @melbournefc",,,,https://www.facebook.com/ads/library/?id=801097778279771,AheadoftodaysAFLSirDougNichollsRoundmatchwithWalyalupMelbourneFootballClubwhoplayasNarrmFootballClubduringtheRoundhasannounceditssupportforaFirstNationsVoiceWeareconfidentthataFirstNationsvoicetoParliamentisapositiveandexcitingopportunityforallAustraliansandanimportantsteppingstonetowardsareconciledAustraliaReadthefullstatementontheirInstagrammelbournefc
