Ad_id,Advertiser,Classification,Text
1455868811912824,102329728050606,other,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
1476058636471630,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
3493940620920492,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
6366684690117985,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
620343493255939,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
794059912196335,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
176866678723724,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
257518053720663,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
266583599437239,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
603391705273172,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
612134497569827,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
711443597459555,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
791644889095899,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
1005363590896819,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
1134742107505858,102329728050606,other,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
1655773508258326,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
813123417200974,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
838185787663141,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
1010584490111855,102329728050606,other,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
241740868741628,102329728050606,Voice to Parliament,"Are you voting Yes at the referendum? 

Aboriginal and Torres Strait Islander communities have called for constitutional recognition through a voice to Parliament. Later this year we all have the opportunity to bring our country together with a resounding Yes vote. 

Will you pledge to vote Yes?

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
651631023312708,102329728050606,Voice to Parliament,"Tens of thousands of people across the country just came together to support the Yes campaign in one day.

Let’s build on the momentum!

Indigenous Australians have called for constitutional recognition through a voice to Parliament. 

Join the growing public support by donating to support the YES campaign.


Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW."
961420911809150,102329728050606,Voice to Parliament,"A ‘Yes’ vote for Indigenous constitutional recognition will help bring the country together.

Show your solidarity here and now by donating to support the YES campaign."
798584108671618,102329728050606,Voice to Parliament,"Tens of thousands of people across the country just came together to support the Yes campaign in one day.

Let’s build on the momentum!

Indigenous Australians have called for constitutional recognition through a voice to Parliament. 

Join the growing public support by donating to support the YES campaign."
1006181907181550,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Show your solidarity here and now by donating to support the YES campaign."
254551320668767,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Pledge to Vote Yes in this referendum to show your support."
987838362365562,102329728050606,Voice to Parliament,"Tens of thousands of people across the country just came together to support the Yes campaign in one day.

Let’s build on the momentum!

Indigenous Australians have called for constitutional recognition through a voice to Parliament. 

Pledge to vote Yes now!"
1444113192826751,102329728050606,Voice to Parliament,"A Yes vote for Indigenous constitutional recognition will help bring the country together.

Pledge to Vote Yes in this referendum to show your support."
249534914492816,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
240106882281826,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
741949914349615,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
982066722994062,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
989774782171124,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
1430305947762255,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
1456021878534242,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
2521674787985916,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
3424683574410012,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
161095556980472,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
177127748679766,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
189849863771740,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
233764892839059,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
783449493571571,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
199117652794691,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
281370211217806,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
290109883590645,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
698870592070923,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
832975105115391,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
976942500284553,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
1020355242476188,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
1337629840512683,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
1660363284466626,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
2209043405953992,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
3423408584643517,102329728050606,Voice to Parliament,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition."
100752513089371,102329728050606,other,"The referendum for Indigenous constitutional recognition is the result of:
– 13 Regional Dialogues with 1,200 Indigenous Australians
– Conducted over several years
– Adopted by 250 Indigenous delegates at a National Convention

After years of consultation, the time is now. 

Vote YES in the national referendum for Indigenous constitutional recognition."
1380449699178333,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
184540081258966,102329728050606,other,"For a long time the government has made many decisions for Indigenous communities – and it hasn’t worked.

The national referendum for Indigenous constitutional recognition will give Indigenous Australians a say over decisions that affect them.

This will mean better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
812330593540819,102329728050606,Voice to Parliament,"Everyone deserves a voice on issues that affect them. 

For too long the government has decided things for Indigenous communities without listening to them, with terrible consequences.

That’s why Indigenous Australians have called for constitutional recognition through an advisory voice to Parliament on issues that affect their communities.

Vote YES in the national referendum for Indigenous constitutional recognition."
272091528803409,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
1062725504696057,102329728050606,Voice to Parliament,"Our nation is stronger when we work together.

Constitutional recognition of Indigenous Australians will help bring us together as a nation.

An Indigenous advisory voice to Parliament will help us solve the challenges facing Indigenous communities.

Vote YES in the national referendum for Indigenous constitutional recognition."
1094309624879231,102329728050606,other,"We should all have a say in the decisions that affect our lives.

The referendum for constitutional recognition of Indigenous Australians will give them a say over decisions that affect them.

This will mean better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
288055777071143,102329728050606,Voice to Parliament,"Our nation is stronger when we work together.

Constitutional recognition of Indigenous Australians will help bring us together as a nation.

An Indigenous advisory voice to Parliament will help us solve the challenges facing Indigenous communities.

Vote YES in the national referendum for Indigenous constitutional recognition."
1028008551440579,102329728050606,other,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
1524881364715856,102329728050606,Voice to Parliament,"Everyone deserves a voice on issues that affect them. 

For too long the government has decided things for Indigenous communities without listening to them, with terrible consequences.

That’s why Indigenous Australians have called for constitutional recognition through an advisory voice to Parliament on issues that affect their communities.

Vote YES in the national referendum for Indigenous constitutional recognition."
252589550819569,102329728050606,other,"We should all have a say in the decisions that affect our lives.

The referendum for constitutional recognition of Indigenous Australians will give them a say over decisions that affect them.

This will mean better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
990228332173703,102329728050606,Voice to Parliament,"It's time to work with Indigenous Australians as one, so we can all be proud of this place we call home.

Vote YES in the national referendum for Indigenous constitutional recognition."
649028527128704,102329728050606,Voice to Parliament,"It's time to work with Indigenous Australians as one, so we can all be proud of this place we call home.

Vote YES in the national referendum for Indigenous constitutional recognition."
3589387444718488,102329728050606,other,"For a long time the government has made many decisions for Indigenous communities – and it hasn’t worked.

The national referendum for Indigenous constitutional recognition will give Indigenous Australians a say over decisions that affect them.

This will mean better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition."
584861623804710,102329728050606,Voice to Parliament,"Over 20,000 people gathered together across Australia yesterday to show their support for a Voice to Parliament. 

And what a day it was! 

Thank you to all who came along to learn more about the campaign and how you can get involved. 

And for those who couldn’t make it, head to action.yes23.com.au to sign up for future events! 

#yes23 

This video contains footage from 9 News, 7 News, 10 News First and The Project."
686581233237984,102329728050606,Voice to Parliament,"Over 20,000 people gathered together across Australia yesterday to show their support for a Voice to Parliament. 

And what a day it was! 

Thank you to all who came along to learn more about the campaign and how you can get involved. 

And for those who couldn’t make it, head to action.yes23.com.au to sign up for future events! 

#yes23 

This video contains footage from 9 News, 7 News, 10 News First and The Project."
1360191161511490,102329728050606,Voice to Parliament,"Communities across the country — from as far north as Marrara in the Northern Territory, to Tasmania’s capital Hobart in the south — have rallied in support of Indigenous constitutional recognition through a Voice to Parliament.

Find out about the growing support for Yes across the country: 
https://www.abc.net.au/news/2023-07-02/voice-to-parliament-yes-campaign-community-events/102550732"
6521518971202878,102329728050606,Voice to Parliament,"Communities across the country — from as far north as Marrara in the Northern Territory, to Tasmania’s capital Hobart in the south — have rallied in support of Indigenous constitutional recognition through a Voice to Parliament.

Find out about the growing support for Yes across the country: 
https://www.abc.net.au/news/2023-07-02/voice-to-parliament-yes-campaign-community-events/102550732"
775413974377601,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
260052499998828,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
599662018966127,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
800696861532594,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
807454287460034,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
1433046204183458,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
129712323485835,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
2877120262430952,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
6328247760545671,102329728050606,other,"This year, we all have the opportunity to make history. 

A resounding Yes vote will be remembered as a moment our nation came together and voted for a better future. 

Will you be part of it?"
230327476487124,102329728050606,other,"This is our chance to write 65,000 years of continuous Indigenous culture into our constitution.

The national referendum for Indigenous constitutional recognition is a choice for us, not politicians.

Make your choice by voting ‘Yes’ to 65,000 years of Indigenous culture.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge"
252096060790977,102329728050606,other,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge"
